"Sepal.Length"	"Sepal.Width"	"Petal.Length"	"Petal.Width"	"Species"	"Ratio.Sepal.Petal"	"Av.Sepal.Length"
"32"	5.4	3.4	1.5	0.4	"setosa"	3.6	5.006
"33"	5.2	4.1	1.5	0.1	"setosa"	3.46666666666667	5.006
"34"	5.5	4.2	1.4	0.2	"setosa"	3.92857142857143	5.006
"35"	4.9	3.1	1.5	0.2	"setosa"	3.26666666666667	5.006
"36"	5	3.2	1.2	0.2	"setosa"	4.16666666666667	5.006
"37"	5.5	3.5	1.3	0.2	"setosa"	4.23076923076923	5.006
"38"	4.9	3.6	1.4	0.1	"setosa"	3.5	5.006
"39"	4.4	3	1.3	0.2	"setosa"	3.38461538461538	5.006
"40"	5.1	3.4	1.5	0.2	"setosa"	3.4	5.006
"41"	5	3.5	1.3	0.3	"setosa"	3.84615384615385	5.006
"42"	4.5	2.3	1.3	0.3	"setosa"	3.46153846153846	5.006
"43"	4.4	3.2	1.3	0.2	"setosa"	3.38461538461538	5.006
"44"	5	3.5	1.6	0.6	"setosa"	3.125	5.006
"45"	5.1	3.8	1.9	0.4	"setosa"	2.68421052631579	5.006
"46"	4.8	3	1.4	0.3	"setosa"	3.42857142857143	5.006
"47"	5.1	3.8	1.6	0.2	"setosa"	3.1875	5.006
"48"	4.6	3.2	1.4	0.2	"setosa"	3.28571428571429	5.006
"49"	5.3	3.7	1.5	0.2	"setosa"	3.53333333333333	5.006
"50"	5	3.3	1.4	0.2	"setosa"	3.57142857142857	5.006
"51"	7	3.2	4.7	1.4	"versicolor"	1.48936170212766	5.936
"52"	6.4	3.2	4.5	1.5	"versicolor"	1.42222222222222	5.936
"53"	6.9	3.1	4.9	1.5	"versicolor"	1.40816326530612	5.936
"54"	5.5	2.3	4	1.3	"versicolor"	1.375	5.936
"55"	6.5	2.8	4.6	1.5	"versicolor"	1.41304347826087	5.936
"56"	5.7	2.8	4.5	1.3	"versicolor"	1.26666666666667	5.936
"57"	6.3	3.3	4.7	1.6	"versicolor"	1.34042553191489	5.936
"58"	4.9	2.4	3.3	1	"versicolor"	1.48484848484849	5.936
"59"	6.6	2.9	4.6	1.3	"versicolor"	1.43478260869565	5.936
"60"	5.2	2.7	3.9	1.4	"versicolor"	1.33333333333333	5.936
"61"	5	2	3.5	1	"versicolor"	1.42857142857143	5.936
"62"	5.9	3	4.2	1.5	"versicolor"	1.4047619047619	5.936
"63"	6	2.2	4	1	"versicolor"	1.5	5.936
"64"	6.1	2.9	4.7	1.4	"versicolor"	1.29787234042553	5.936
"65"	5.6	2.9	3.6	1.3	"versicolor"	1.55555555555556	5.936
"66"	6.7	3.1	4.4	1.4	"versicolor"	1.52272727272727	5.936
"67"	5.6	3	4.5	1.5	"versicolor"	1.24444444444444	5.936
"68"	5.8	2.7	4.1	1	"versicolor"	1.41463414634146	5.936
"69"	6.2	2.2	4.5	1.5	"versicolor"	1.37777777777778	5.936
"70"	5.6	2.5	3.9	1.1	"versicolor"	1.43589743589744	5.936
"71"	5.9	3.2	4.8	1.8	"versicolor"	1.22916666666667	5.936
"72"	6.1	2.8	4	1.3	"versicolor"	1.525	5.936
"73"	6.3	2.5	4.9	1.5	"versicolor"	1.28571428571429	5.936
"74"	6.1	2.8	4.7	1.2	"versicolor"	1.29787234042553	5.936
"75"	6.4	2.9	4.3	1.3	"versicolor"	1.48837209302326	5.936
"76"	6.6	3	4.4	1.4	"versicolor"	1.5	5.936
"77"	6.8	2.8	4.8	1.4	"versicolor"	1.41666666666667	5.936
"78"	6.7	3	5	1.7	"versicolor"	1.34	5.936
"79"	6	2.9	4.5	1.5	"versicolor"	1.33333333333333	5.936
"80"	5.7	2.6	3.5	1	"versicolor"	1.62857142857143	5.936
"81"	5.5	2.4	3.8	1.1	"versicolor"	1.44736842105263	5.936
"82"	5.5	2.4	3.7	1	"versicolor"	1.48648648648649	5.936
"83"	5.8	2.7	3.9	1.2	"versicolor"	1.48717948717949	5.936
"84"	6	2.7	5.1	1.6	"versicolor"	1.17647058823529	5.936
"85"	5.4	3	4.5	1.5	"versicolor"	1.2	5.936
"86"	6	3.4	4.5	1.6	"versicolor"	1.33333333333333	5.936
"87"	6.7	3.1	4.7	1.5	"versicolor"	1.42553191489362	5.936
"88"	6.3	2.3	4.4	1.3	"versicolor"	1.43181818181818	5.936
"89"	5.6	3	4.1	1.3	"versicolor"	1.36585365853659	5.936
"90"	5.5	2.5	4	1.3	"versicolor"	1.375	5.936
"91"	5.5	2.6	4.4	1.2	"versicolor"	1.25	5.936
"92"	6.1	3	4.6	1.4	"versicolor"	1.32608695652174	5.936
"93"	5.8	2.6	4	1.2	"versicolor"	1.45	5.936
"94"	5	2.3	3.3	1	"versicolor"	1.51515151515152	5.936
"95"	5.6	2.7	4.2	1.3	"versicolor"	1.33333333333333	5.936
"96"	5.7	3	4.2	1.2	"versicolor"	1.35714285714286	5.936
"97"	5.7	2.9	4.2	1.3	"versicolor"	1.35714285714286	5.936
"98"	6.2	2.9	4.3	1.3	"versicolor"	1.44186046511628	5.936
"99"	5.1	2.5	3	1.1	"versicolor"	1.7	5.936
"100"	5.7	2.8	4.1	1.3	"versicolor"	1.39024390243902	5.936
"101"	6.3	3.3	6	2.5	"virginica"	1.05	6.588
"102"	5.8	2.7	5.1	1.9	"virginica"	1.13725490196078	6.588
"103"	7.1	3	5.9	2.1	"virginica"	1.20338983050847	6.588
"104"	6.3	2.9	5.6	1.8	"virginica"	1.125	6.588
"105"	6.5	3	5.8	2.2	"virginica"	1.12068965517241	6.588
"106"	7.6	3	6.6	2.1	"virginica"	1.15151515151515	6.588
"107"	4.9	2.5	4.5	1.7	"virginica"	1.08888888888889	6.588
"108"	7.3	2.9	6.3	1.8	"virginica"	1.15873015873016	6.588
"109"	6.7	2.5	5.8	1.8	"virginica"	1.1551724137931	6.588
"110"	7.2	3.6	6.1	2.5	"virginica"	1.18032786885246	6.588
"111"	6.5	3.2	5.1	2	"virginica"	1.27450980392157	6.588
"112"	6.4	2.7	5.3	1.9	"virginica"	1.20754716981132	6.588
"113"	6.8	3	5.5	2.1	"virginica"	1.23636363636364	6.588
"114"	5.7	2.5	5	2	"virginica"	1.14	6.588
"115"	5.8	2.8	5.1	2.4	"virginica"	1.13725490196078	6.588
"116"	6.4	3.2	5.3	2.3	"virginica"	1.20754716981132	6.588
"117"	6.5	3	5.5	1.8	"virginica"	1.18181818181818	6.588
"118"	7.7	3.8	6.7	2.2	"virginica"	1.14925373134328	6.588
"119"	7.7	2.6	6.9	2.3	"virginica"	1.11594202898551	6.588
"120"	6	2.2	5	1.5	"virginica"	1.2	6.588
"121"	6.9	3.2	5.7	2.3	"virginica"	1.21052631578947	6.588
"122"	5.6	2.8	4.9	2	"virginica"	1.14285714285714	6.588
"123"	7.7	2.8	6.7	2	"virginica"	1.14925373134328	6.588
"124"	6.3	2.7	4.9	1.8	"virginica"	1.28571428571429	6.588
"125"	6.7	3.3	5.7	2.1	"virginica"	1.17543859649123	6.588
"126"	7.2	3.2	6	1.8	"virginica"	1.2	6.588
"127"	6.2	2.8	4.8	1.8	"virginica"	1.29166666666667	6.588
"128"	6.1	3	4.9	1.8	"virginica"	1.24489795918367	6.588
"129"	6.4	2.8	5.6	2.1	"virginica"	1.14285714285714	6.588
"130"	7.2	3	5.8	1.6	"virginica"	1.24137931034483	6.588
"131"	7.4	2.8	6.1	1.9	"virginica"	1.21311475409836	6.588
"132"	7.9	3.8	6.4	2	"virginica"	1.234375	6.588
"133"	6.4	2.8	5.6	2.2	"virginica"	1.14285714285714	6.588
"134"	6.3	2.8	5.1	1.5	"virginica"	1.23529411764706	6.588
"135"	6.1	2.6	5.6	1.4	"virginica"	1.08928571428571	6.588
"136"	7.7	3	6.1	2.3	"virginica"	1.26229508196721	6.588
"137"	6.3	3.4	5.6	2.4	"virginica"	1.125	6.588
"138"	6.4	3.1	5.5	1.8	"virginica"	1.16363636363636	6.588
"139"	6	3	4.8	1.8	"virginica"	1.25	6.588
"140"	6.9	3.1	5.4	2.1	"virginica"	1.27777777777778	6.588
"141"	6.7	3.1	5.6	2.4	"virginica"	1.19642857142857	6.588
"142"	6.9	3.1	5.1	2.3	"virginica"	1.35294117647059	6.588
"143"	5.8	2.7	5.1	1.9	"virginica"	1.13725490196078	6.588
"144"	6.8	3.2	5.9	2.3	"virginica"	1.15254237288136	6.588
"145"	6.7	3.3	5.7	2.5	"virginica"	1.17543859649123	6.588
"146"	6.7	3	5.2	2.3	"virginica"	1.28846153846154	6.588
"147"	6.3	2.5	5	1.9	"virginica"	1.26	6.588
"148"	6.5	3	5.2	2	"virginica"	1.25	6.588
"149"	6.2	3.4	5.4	2.3	"virginica"	1.14814814814815	6.588
"150"	5.9	3	5.1	1.8	"virginica"	1.15686274509804	6.588
